Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.100000	1.526249	1.615426	47.021999	48.529999	
0.100000	1.108648	1.108590	62.639999	62.680000	
0.100000	0.950364	0.856613	68.545998	70.070000	
0.100000	0.854429	0.800142	71.675995	73.019997	
0.100000	0.801680	0.965075	73.358002	67.779999	
0.100000	0.783880	0.822897	74.077995	72.729996	
0.100000	0.742470	1.075345	75.661995	64.820000	
0.100000	0.717655	0.806965	76.571999	72.820000	
0.100000	0.713726	0.957578	76.568001	69.199997	
0.100000	0.690579	0.761546	77.318001	74.279999	
0.100000	0.666996	0.876115	78.031998	71.769997	
0.100000	0.666904	0.734175	78.007996	75.309998	
0.100000	0.652549	0.756407	78.610001	74.559998	
0.100000	0.632346	0.693489	79.419998	76.599998	
0.100000	0.622392	0.832001	79.461998	72.650002	
0.100000	0.629518	0.686072	79.290001	77.220001	
0.100000	0.612486	0.654832	80.108002	78.389999	
0.100000	0.615079	0.728664	79.977997	75.150002	
0.100000	0.614896	0.638420	79.853996	78.080002	
0.100000	0.598116	0.686757	80.363998	77.000000	
0.100000	0.598753	0.705640	80.549995	76.409996	
0.100000	0.596772	0.608858	80.582001	79.159996	
0.100000	0.585379	0.827406	80.970001	73.189995	
0.100000	0.585721	0.818058	80.975998	73.500000	
0.100000	0.579483	0.831998	81.056000	72.239998	
0.100000	0.575322	0.780618	81.360001	74.110001	
0.100000	0.565674	0.804010	81.765999	73.799995	
0.100000	0.563881	0.761372	81.846001	76.000000	
0.100000	0.573901	0.527795	81.433998	82.250000	
0.100000	0.564607	0.730600	81.811996	74.659996	
0.010000	0.403313	0.380740	87.334000	87.169998	
0.010000	0.351187	0.325914	88.991997	88.779999	
0.010000	0.335061	0.322372	89.717995	88.860001	
0.010000	0.332117	0.347451	89.643997	88.360001	
0.010000	0.321965	0.325413	89.863998	89.189995	
0.010000	0.321049	0.311103	90.057999	89.579994	
0.010000	0.320930	0.342960	89.991997	88.540001	
0.010000	0.317490	0.323919	90.121994	89.079994	
0.010000	0.313770	0.332941	90.253998	88.979996	
0.010000	0.314610	0.374666	90.135994	87.509995	
0.010000	0.318917	0.336557	89.885994	88.549995	
0.010000	0.313799	0.354180	90.178001	88.379997	
0.010000	0.306358	0.341365	90.486000	88.610001	
0.010000	0.312236	0.353599	90.251999	88.180000	
0.010000	0.299726	0.333079	90.554001	88.860001	
0.010000	0.307826	0.338398	90.423996	88.860001	
0.010000	0.303260	0.316681	90.641998	89.639999	
0.010000	0.308439	0.363369	90.381996	87.939995	
0.010000	0.307247	0.311360	90.323997	89.659996	
0.010000	0.298972	0.323272	90.625999	89.269997	
0.010000	0.288973	0.327191	90.921997	89.329994	
0.010000	0.288505	0.316642	91.070000	89.459999	
0.010000	0.297962	0.328850	90.685997	88.970001	
0.010000	0.294438	0.332474	90.751999	89.150002	
0.010000	0.289928	0.328263	90.933998	89.290001	
0.010000	0.288986	0.328773	90.981995	89.040001	
0.010000	0.287474	0.358706	91.131996	88.079994	
0.010000	0.297486	0.375116	90.680000	87.290001	
0.010000	0.290375	0.372158	90.797997	87.769997	
0.010000	0.291590	0.331011	90.956001	89.150002	
0.001000	0.224998	0.269776	93.375999	91.209999	
0.001000	0.205118	0.265613	93.958000	91.229996	
0.001000	0.200551	0.264629	94.309998	91.449997	
0.001000	0.197183	0.265995	94.297997	91.209999	
0.001000	0.197013	0.265297	94.320000	91.449997	
0.001000	0.190649	0.259324	94.549995	91.500000	
0.001000	0.188331	0.277529	94.593994	90.849998	
0.001000	0.191316	0.267118	94.419998	91.180000	
0.001000	0.191548	0.265803	94.565994	91.169998	
0.001000	0.189304	0.269964	94.515999	91.089996	
0.001000	0.192595	0.268661	94.383995	91.360001	
0.001000	0.191004	0.280431	94.399994	91.229996	
0.001000	0.193869	0.273198	94.250000	91.129997	
0.001000	0.188500	0.274380	94.631996	90.899994	
0.001000	0.190895	0.281652	94.353996	91.059998	
0.001000	0.189547	0.273203	94.473999	91.139999	
0.001000	0.192239	0.269494	94.374001	91.369995	
0.001000	0.189632	0.277919	94.451996	90.809998	
0.001000	0.184438	0.265120	94.641998	91.209999	
0.001000	0.191220	0.271207	94.306000	91.419998	
0.001000	0.190524	0.272247	94.360001	91.199997	
0.001000	0.191555	0.285674	94.416000	90.599998	
0.001000	0.187399	0.284972	94.617996	90.759995	
0.001000	0.186123	0.286683	94.519997	90.790001	
0.001000	0.189690	0.285647	94.351997	90.829994	
0.001000	0.193775	0.277059	94.236000	90.979996	
0.001000	0.184836	0.274465	94.559998	91.129997	
0.001000	0.186842	0.289511	94.512001	90.739998	
0.001000	0.191451	0.281369	94.365997	90.829994	
0.001000	0.189869	0.277067	94.407997	91.159996	
